station,scale,annual_revenue,annual_direct_cost,annual_subsidy,annual_subsidy_cap,annual_operating_cost,annualized_construction_cost,service_profit,topic_profit_rate,annual_net_profit,subsidy_base_annual_times
C,小型,5171522.508435947,4895591.165234286,365000.0,365000.0,730000.0,9000.0,275931.34320166055,-0.12201185862786058,-98068.65679833945,357138.15018524585
D,大型,15336018.251666918,14561387.79524786,949000.0,949000.0,1606000.0,22500.0,774630.4564190581,0.07324436887861607,95130.45641905814,1069751.38219873
G,大型,15140351.899040861,14359428.670672797,949000.0,949000.0,1606000.0,22500.0,780923.2283680644,0.07716265776342691,101423.22836806439,1052276.7446178098
