scenario,description,station_count,stations,construction_cost_10k,cr_srv,cr_geo,cr_eff,demand_satisfaction_rate,problem2_weighted_satisfaction,problem3_weighted_satisfaction,annual_elder_pay,annual_subsidy,annual_net_profit_total,min_topic_profit_rate,max_topic_profit_rate,loss_penalty,price_summary,pricing_search_total_evaluated,pricing_search_total_feasible
S0,基准方案,3,C:小型;D:大型;G:大型,108.0,0.9999999999986805,0.9999999999986805,0.8530139693713862,0.853148240793354,0.8622144522133145,0.8622144522131109,35647892.65914372,2263000.0,98485.02798878402,-0.12201185862786186,0.07716265776342807,0.014886893645825348,助餐:8.00;日间照料:16.00;上门护理:30.00;康复理疗:28.00;助浴:20.00,6277,2122
S1,60+老人年增长率调整为8%,3,C:小型;E:大型;H:大型,108.0,0.9999999999987433,0.9999999999987433,0.8266361746577628,0.8267936050731717,0.8638927738916882,0.8638927738914924,35774345.03680651,2263000.0,85784.33101323992,-0.12747509378132377,0.07848900652576565,0.01624989953455729,助餐:7.00;日间照料:18.00;上门护理:29.00;康复理疗:27.00;助浴:21.00,6277,2115
S2,自理到半失能5.5%，半失能到失能9.5%,3,C:小型;D:大型;G:大型,108.0,0.9999999999986805,0.9999999999986805,0.8452606656623513,0.845408714671902,0.8622144522133145,0.9128259198873531,20724252.107613385,1314000.0,-1489044.5109038223,-0.9999999999999938,0.07813782500612801,0.9999999999999876,助餐:11.40-12.00;日间照料:14.00-14.70;上门护理:22.00-23.10;康复理疗:21.00-22.05;助浴:18.00-18.90,3395,670
S3,日固定管理成本增加20%,3,C:小型;D:大型;G:大型,108.0,0.9999999999986805,0.9999999999986805,0.8530139693713862,0.853148240793354,0.8622144522133145,0.9336157689082183,21082862.61151816,1314000.0,-1835917.3322469462,-0.9999999999999948,0.07864696390979471,1.0000514881785743,助餐:6.00-6.30;日间照料:22.80-24.00;上门护理:22.00-23.10;康复理疗:21.00-23.10;助浴:18.00-18.90,3557,835
S4,总建设预算调整为140万元,4,A:大型;E:中型;G:大型;I:小型,140.0,0.9999999999986805,0.9999999999986805,0.901745199911206,0.9010250330152352,0.9768764568751679,0.9768764568749643,37627408.03733287,2555000.0,-705388.2865258018,-0.9999999999999862,0.0787679778753797,1.0124066432112402,助餐:10.00;日间照料:16.00;上门护理:23.00;康复理疗:22.00;助浴:24.00,4706,1267
