station,scale,construction_cost_10k,daily_capacity,annual_revenue_base,annual_direct_cost,annual_operating_cost,annualized_construction_cost,annual_net_profit_base_no_subsidy,topic_profit_rate_base_no_subsidy
C,小型,18,1000.0,6017361.112442711,4895591.165234286,730000.0,9000.0,382769.94720842503,0.5366711605594789
D,大型,45,3000.0,17879135.603456672,14561387.795247858,1606000.0,22500.0,1689247.808208814,1.065845459656789
G,大型,45,3000.0,17638549.61028278,14359428.670675991,1606000.0,22500.0,1650620.9396067876,1.0417938602781924
