scenario,description,v_loc,v_size,v_cov,v_sat,v_profit,v_subsidy,composite_variation
S0,基准方案,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1,60+老人年增长率调整为8%,0.8,0.0,6.283862256548055e-14,0.0019465246199578709,0.12896068808539332,0.0,0.2132853737325435
S2,自理到半失能5.5%，半失能到失能9.5%,0.0,0.0,0.0,0.058699395443140574,16.119501322304963,0.4193548387096756,1.665625495190092
S3,日固定管理成本增加20%,0.0,0.0,0.0,0.08281155075018837,19.641588165622835,0.4193548387096756,2.022656610583289
S4,总建设预算调整为140万元,0.8333333333333334,0.0,0.0,0.13298548062803514,8.162391085536914,0.12903225806451557,1.0640727638190834
